Organism Name,# of essential genes,NCBI Taxonomy ID
Campylobacter fetus testudinum,444,1244528
Campylobacter fetus venerealis,403,983328
Campylobacter gracilis,255,553220
Campylobacter hominis,284,360107
Campylobacter jejuni 414,175,683083
Campylobacter jejuni 81176,259,354242
Campylobacter jejuni NCTC11168,358,192222
Campylobacter lari,304,306263
Campylobacter rectus,157,553218
Campylobacter showae CSUNSWCD,341,1244083
Campylobacter showae RM3277,211,553219
Campylobacter sp. 1485E,345,1244531
Campylobacter sp. CIT045,139,1448857
Campylobacter sp. MIT975078,145,1548153
Campylobacter sputorum,337,32024
Campylobacter upsaliensis,185,306264
Campylobacter ureolyticus,281,827
candidate division ZIXI,469,1379698
Carnimonas nigrificans,606,1336245
Castellaniella defragrans,845,1437824
Catelliglobosispora koreensis,2765,1121272
Catenovulum agarivorans DS2,1976,1328313
Catenulispora acidiphila,2118,479433
Catenuloplanes japonicus,2958,33876
Caulobacter crescentus CB15,1020,190650
Caulobacter crescentus OR37,1252,1292034
Caulobacter henricii,1160,69395
Caulobacter segnis,897,509190
Caulobacter sp. K31,1260,366602
Caulobacter sp. UNC358MFTsu51,1061,1449049
Caulobacteraceae bacterium PMMR1,907,1382303
Cedecea neteri,938,158822
Celeribacter baekdonensis,1879,1208323
Cellulomonas fimi,976,590998
Cellulomonas flavigena,771,446466
Cellulomonas massiliensis,977,1095767
Cellulomonas sp. HZM,1058,1454010
Cellulomonas sp. KRMCY2,1426,1304865
Cellulomonas sp. URHE0023,1387,1380354
Cellulosimicrobium cellulans,757,935839
Cellvibrio gilvus,680,593907
Cellvibrio japonicus,1015,498211
Cellvibrio mixtus,2175,1209072
Cellvibrio sp. BR,2117,1134474
Cetobacterium somerae,973,1319815
Chamaesiphon minutus,1031,1173020
Chelativorans sp. BNC1,870,266779
Chelativorans sp. J32,2002,935840
Chelatococcus sp. GW1,1917,1211115
Chitinivibrio alkaliphilus,889,1313304
Chlorogloeopsis fritschii,2719,211165
Chondromyces apiculatus,3344,1192034
Chromobacterium violaceum,1552,243365
Chromohalobacter salexigens,814,290398
Chroococcidiopsis thermalis,1448,251229
Chthoniobacter flavus,2390,497964
Citreicella sp. 357,2041,766499
Citreicella sp. SE45,1877,501479
Citricoccus sp. CH26A,1030,1045009
Citrobacter amalonaticus,1228,35703
Citrobacter farmeri,1319,1114922
Citrobacter rodentium,1194,637910
Citrobacter sedlakii,1861,1218086
Citrobacter sp. 302,1975,469595
Citrobacter sp. S77,2189,1080067
Citrobacter youngae,2209,500640
Citromicrobium bathyomarinum,1312,685035
Citromicrobium sp. JLT1363,804,517722
Clavibacter michiganensis NCPPB382,374,443906
Clavibacter michiganensis sepedonicus,358,31964
Cobetia crustatorum,1658,553385
Cobetia marina,501,28258
Coleofasciculus chthonoplastes,2912,118168
Collimonas fungivorans,1075,1005048
Collinsella intestinalis,480,521003
Collinsella sp. 4847FAA,548,742722
Collinsella stercoris,720,445975
Collinsella tanakaei,666,742742
Colwellia piezophila,2043,1265503
Colwellia psychrerythraea,1243,28229
Comamonadaceae bacterium H1,932,1458427
Comamonas aquatica,1620,1219031
Comamonas granuli,1391,1223521
Comamonas testosteroni CNB2,1488,688245
Comamonas testosteroni KF1,2222,399795
Commensalibacter intestini,341,1088868
Commensalibacter sp. MX01,242,1208583
Conchiformibius kuhniae,367,1121351
Conchiformibius steedae,375,1121352
Conexibacter woesei DSM14684,1748,469383
Conexibacter woesei Iso977N,2191,1283299
Congregibacter litoralis,1318,314285
Coprothermobacter platensis,109,1259795
Coprothermobacter proteolyticus,235,309798
Coraliomargarita akajimensis,470,583355
Corallococcus coralloides,2673,1144275
Coriobacteriaceae bacterium BV3Ac1,105,1111135
Coriobacteriaceae bacterium GD5,582,1232436
Coriobacterium glomerans,277,700015
Corynebacterium accolens,552,525260
Corynebacterium ammoniagenes,328,649754
Corynebacterium amycolatum,558,553204
Corynebacterium argentoratense,342,1348662
Corynebacterium atypicum,231,191610
Corynebacterium aurimucosum,349,548476
Corynebacterium callunae,306,1121353
Corynebacterium capitovis,459,1121354
Corynebacterium casei,319,1285583
Corynebacterium caspium,232,1121355
